Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Rings,Engagement Ring,BBTXYVHMFKNXE,2.40G 375 RING,1,£99.99,£70.00,£5.00,£94.99,£24.99,26.31%
Jewellery & Watches,Rings,Engagement Ring,BBTX3KUYKAVOX,3.12g 375 Ring,1,£150.00,£70.00,£13.33,£136.67,£66.67,48.78%
Jewellery & Watches,Rings,Engagement Ring,BBTXY047K3MEB,1.84g 9CT Ring,1,£90.00,£1.00,£14.83,£75.17,£74.17,98.67%
Jewellery & Watches,Rings,Engagement Ring,BBTXW5URGBW2F,Pandora ME Ring Ruthenium plating,1,£9.99,£1.00,£1.50,£8.49,£7.49,88.22%
Jewellery & Watches,Rings,Engagement Ring,BBTXMGETAHBTY,5.72g 9ct ring,1,£200.00,£100.00,£16.67,£183.33,£83.33,45.45%
Jewellery & Watches,Rings,Other,BBWGDB67BC2E4,Other,-1,-£19.99,-£10.00,-£1.66,-£18.32,-£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTX4EF659976,Rings 5.26g 9ct CK,1,£110.00,£45.00,£10.83,£99.17,£54.17,54.62%
Jewellery & Watches,Rings,Other,BBTX545D63621,Diamond Cluster 9ct 2.1g,-1,-£79.99,-£40.00,-£6.66,-£73.32,-£33.32,45.45%
Jewellery & Watches,Rings,Other,BBTX491472362,14ct Diamond Cluster 6.6g,1,£269.99,£70.00,£33.33,£236.66,£166.66,70.42%
Jewellery & Watches,Rings,Other,BBTX88670CA50,375 1.62,-1,-£49.99,-£20.00,-£5.00,-£44.99,-£24.99,55.55%
Jewellery & Watches,Rings,Other,BBTX283538273,RING 1.40G 9K BL,-1,-£25.00,-£12.00,-£2.17,-£22.83,-£10.83,47.45%
Jewellery & Watches,Rings,Other,BBTX6B5BD781F,9CT RING 6.72G,-1,-£159.99,-£80.00,-£13.33,-£146.66,-£66.66,45.45%
Jewellery & Watches,Rings,Other,BBTXF8C063187,1.88g 9ct Ring (Scrap),1,£59.99,£45.00,£2.50,£57.49,£12.49,21.73%
Jewellery & Watches,Rings,Other,BBTX334CC3AF7,Silver Ring,1,£60.00,£60.00,£0.00,£60.00,£0.00,0.00%
Jewellery & Watches,Rings,Other,BBTXBB40F5E39,9ct White Gold,1,£89.99,£25.00,£10.83,£79.16,£54.16,68.42%
Jewellery & Watches,Rings,Other,BBTXGSP8W98DG,Gold ring 9ct HM,1,£169.99,£50.00,£20.00,£149.99,£99.99,66.66%
Jewellery & Watches,Rings,Other,BBTXEHC8GAL3U,9ctHM White gold adn Diamond Twist,-1,-£99.99,-£35.00,-£10.83,-£89.16,-£54.16,60.74%
Jewellery & Watches,Rings,Other,BBTXTILBQRFG0,2.02G 9CT White Gold and Diamond half Eternity,1,£110.00,£45.00,£10.83,£99.17,£54.17,54.62%
Jewellery & Watches,Rings,Other,BBTXKJW21YXZA,9ct HM red stone ring,1,£99.99,£40.00,£10.00,£89.99,£49.99,55.55%
Jewellery & Watches,Rings,Other,BBTXCXL3WE1WI,ring,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Rings,Other,BBTXB4SVADXES,925/3.6g Silver ring,1,£12.00,£5.00,£1.17,£10.83,£5.83,53.85%
Jewellery & Watches,Rings,Other,BBTXQXQLMWGW2,9ctHM patterned Signet Ring,1,£129.99,£60.00,£11.66,£118.33,£58.33,49.29%
Jewellery & Watches,Rings,Other,BBTXJFBB1EN1O,9ct patterned Band,1,£119.99,£45.00,£12.50,£107.49,£62.49,58.14%
Jewellery & Watches,Rings,Other,BBTX8UBRELRXU,9ct 2.08g gold ring w stones,1,£105.00,£25.00,£13.33,£91.67,£66.67,72.73%
Jewellery & Watches,Rings,Other,BBTXER7ILTAO6,9ct 2.6,1,£139.99,£25.00,£19.16,£120.83,£95.83,79.31%
Jewellery & Watches,Rings,Other,BBTXJNH1RSYIA,9ct Gold ring,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
